,Unnamed: 0,r1,r2,r3,v
93589,93589,1.81,10.31,8.50239,0.02014
53316,53316,1.31,4.51,3.2008,0.00573
260739,260739,4.21,5.71,1.50335,0.00206
39150,39150,1.11,4.61,3.5005,0.0256
127614,127614,2.31,8.41,6.10051,0.06405
583627,583627,8.71,6.81,1.93292,0.03035
88113,88113,1.81,3.51,1.70144,0.01526
454004,454004,6.91,5.81,1.11792,0.02104
33313,33313,1.01,6.21,5.20047,0.04688
532649,532649,8.01,5.81,2.21899,0.05591
109890,109890,2.11,4.01,1.903,0.02231
440957,440957,6.71,8.41,1.71976,0.0133
670430,670430,9.91,7.41,2.50969,0.08126
694332,694332,10.31,1.01,9.3001,0.04685
460442,460442,7.01,4.91,2.11546,0.04655
551201,551201,8.31,2.21,6.10024,0.05511
708386,708386,10.41,9.31,1.10758,0.02301
511129,511129,7.71,5.81,1.90333,0.02777
58948,58948,1.41,2.61,1.20326,0.07225
275839,275839,4.41,6.71,2.31725,0.06466
383137,383137,5.91,7.41,1.5055,0.00168
520232,520232,7.81,9.31,1.50354,0.00169
56007,56007,1.31,7.91,6.60016,0.00165
134373,134373,2.41,7.91,5.50254,0.07276
597508,597508,8.91,6.21,2.7227,0.09804
637240,637240,9.51,2.01,7.50016,0.03715
90938,90938,1.81,7.01,5.20204,0.02005
412852,412852,6.31,8.91,2.61371,0.08966
692669,692669,10.21,8.01,2.24752,0.05853
498734,498734,7.51,9.21,1.72642,0.01379
507556,507556,7.71,1.31,6.40076,0.00164
362078,362078,5.61,7.71,2.12699,0.0476
296804,296804,4.71,6.31,1.60148,0.00597
419534,419534,6.41,8.41,2.00252,0.03645
74357,74357,1.61,4.11,2.50118,0.01223
710059,710059,10.51,2.01,8.5006,0.03716
708123,708123,10.41,8.91,1.55608,0.00371
121300,121300,2.21,9.41,7.20064,0.05515
659079,659079,9.81,2.21,7.60209,0.05516
436030,436030,6.71,1.21,5.50017,0.00847
543157,543157,8.21,1.11,7.10011,0.02251
160994,160994,2.81,5.61,2.80226,0.08701
107562,107562,2.01,10.01,8.00133,0.03716
286274,286274,4.61,0.91,3.70045,0.08799
175138,175138,3.01,5.51,2.50132,0.07554
362120,362120,5.61,7.81,2.20984,0.05508
374544,374544,5.81,4.41,1.41763,0.00031
644639,644639,9.61,2.21,7.40115,0.05515
522624,522624,7.91,2.21,5.7038,0.0551
295404,295404,4.71,3.41,1.30694,0.00465
381328,381328,5.91,4.01,1.90791,0.02841
347094,347094,5.41,6.81,1.41967,-2e-05
225353,225353,3.71,5.91,2.21181,0.05527
439046,439046,6.71,4.91,1.81808,0.02073
308913,308913,4.91,2.51,2.40198,0.05706
637845,637845,9.51,2.71,6.80227,0.09711
439376,439376,6.71,5.31,1.4312,9e-05
380392,380392,5.91,2.81,3.10622,0.09647
424060,424060,6.51,4.01,2.50743,0.08083
498694,498694,7.51,9.21,1.70472,0.01227
62274,62274,1.41,6.81,5.40071,-7e-05
395770,395770,6.11,4.31,1.80182,0.01959
245226,245226,4.01,3.01,1.00351,0.05609
100271,100271,1.91,9.81,7.90085,0.02841
96290,96290,1.91,4.81,2.90213,0.02947
202041,202041,3.41,2.41,1.0042,0.06628
426861,426861,6.51,8.61,2.11641,0.04668
608587,608587,9.11,2.11,7.00224,0.04611
333136,333136,5.21,7.21,2.00335,0.03648
59502,59502,1.41,3.31,1.90227,0.01893
489009,489009,7.41,4.91,2.51341,0.08148
243967,243967,4.01,1.41,2.60134,0.00833
402764,402764,6.21,4.11,2.10683,0.04587
274076,274076,4.41,3.41,1.01886,0.04791
266147,266147,4.31,2.41,1.90568,0.0268
651779,651779,9.71,2.11,7.60157,0.04613
551284,551284,8.31,2.31,6.00032,0.06405
460278,460278,7.01,4.71,2.31228,0.06422
474700,474700,7.21,4.91,2.30838,0.06387
533279,533279,8.01,6.61,1.42596,4e-05
280058,280058,4.51,2.01,2.50303,0.03416
400170,400170,6.21,0.91,5.30013,0.08595
419178,419178,6.41,7.91,1.5226,0.00229
389214,389214,6.01,5.01,1.00479,0.04857
520272,520272,7.81,9.31,1.52623,0.00247
384015,384015,5.91,8.51,2.60326,0.08882
359818,359818,5.61,3.81,1.8099,0.02057
103421,103421,2.01,4.81,2.80311,0.03678
598267,598267,8.91,7.21,1.71244,0.0128
61496,61496,1.41,5.81,4.40148,0.00028
612749,612749,9.11,7.31,1.83145,0.02184
317082,317082,5.01,3.81,1.20838,0.01019
659153,659153,9.81,2.31,7.50186,0.06409
52869,52869,1.31,3.91,2.60214,0.0114
505714,505714,7.61,9.01,1.42172,4e-05
568546,568546,8.51,5.91,2.61452,0.08971
336702,336702,5.31,1.61,3.70213,0.00731
592355,592355,8.81,9.81,1.03791,0.0388
142119,142119,2.51,8.71,6.20169,0.08125
66544,66544,1.51,3.21,1.70276,0.02004
295431,295431,4.71,3.41,1.31398,0.00436
650782,650782,9.71,0.91,8.80011,0.08594
393480,393480,6.11,1.41,4.70091,0.00011
352559,352559,5.51,3.61,1.91404,0.02925
194644,194644,3.31,2.11,1.20046,0.03094
148232,148232,2.61,7.41,4.80468,0.08931
28639,28639,0.91,9.31,8.40136,0.08594
317147,317147,5.01,3.91,1.1054,0.02483
153626,153626,2.71,5.31,2.60161,0.07418
456216,456216,6.91,9.61,2.73159,0.09873
156194,156194,2.71,8.51,5.80159,0.09708
139388,139388,2.51,5.31,2.80151,0.07197
57344,57344,1.31,9.51,8.20147,0.0017
95571,95571,1.91,3.91,2.00259,0.02046
53291,53291,1.31,4.51,3.20024,0.00573
656182,656182,9.71,7.61,2.12225,0.04724
539825,539825,8.11,5.81,2.32578,0.06543
628629,628629,9.31,10.21,0.93847,0.07296
643860,643860,9.61,1.21,8.40107,0.00852
585417,585417,8.71,10.11,1.4308,0.00014
600614,600614,9.01,1.11,7.90147,0.02254
634602,634602,9.41,7.71,1.70368,0.0122
635307,635307,9.41,8.51,0.99408,0.05193
629534,629534,9.41,1.31,8.10124,0.00169
643868,643868,9.61,1.21,8.40131,0.00852
496039,496039,7.51,4.81,2.70356,0.09654
571156,571156,8.51,10.21,1.73603,0.01451
470571,470571,7.11,9.71,2.63203,0.09113
402525,402525,6.21,3.81,2.40572,0.07218
157181,157181,2.71,9.71,7.00339,0.09711
275823,275823,4.41,6.71,2.31214,0.06421
444317,444317,6.81,2.61,4.20253,0.08919
69661,69661,1.51,7.11,5.60173,0.00183
591356,591356,8.81,7.51,1.34294,0.00064
338889,338889,5.31,4.41,0.90302,0.08983
532270,532270,8.01,5.41,2.60112,0.08863
422975,422975,6.51,2.71,3.80047,0.09634
695072,695072,10.31,1.91,8.40065,0.02841
465234,465234,7.11,2.01,5.10125,0.03708
397983,397983,6.11,8.11,2.02331,0.03829
125544,125544,2.31,5.81,3.50102,0.06365
301012,301012,4.81,1.51,3.30157,0.0044
440324,440324,6.71,7.61,0.94064,0.07199
158635,158635,2.81,1.51,1.30404,0.04623
123958,123958,2.31,3.81,1.50271,0.01115
265403,265403,4.31,1.51,2.80127,0.00734
601806,601806,9.01,2.61,6.40356,0.08937
533519,533519,8.01,6.91,1.13433,0.01829
468040,468040,7.11,5.51,1.61331,0.00649
131034,131034,2.41,3.71,1.30832,0.01426
687626,687626,10.21,1.71,8.50249,0.01265
455373,455373,6.91,8.61,1.71398,0.0129
578991,578991,8.71,1.01,7.70133,0.04682
253332,253332,4.11,5.31,1.21289,0.00904
382076,382076,5.91,4.91,1.03608,0.03944
381861,381861,5.91,4.71,1.20536,0.0092
121880,121880,2.21,10.11,7.9014,0.05516
268484,268484,4.31,6.51,2.20102,0.05431
429881,429881,6.61,2.41,4.20115,0.07271
194031,194031,3.31,1.31,2.00078,0.02246
398047,398047,6.11,8.21,2.11469,0.04651
407699,407699,6.31,1.41,4.90036,3e-05
634682,634682,9.41,7.81,1.60396,0.00605
224289,224289,3.71,4.61,0.91235,0.08681
346094,346094,5.41,4.51,0.90431,0.08909
714913,714913,10.51,8.01,2.54226,0.08395
318844,318844,5.01,7.11,2.10953,0.04601
127573,127573,2.31,8.31,6.00234,0.06405
534867,534867,8.01,9.61,1.66224,0.00947
440449,440449,6.71,7.81,1.10944,0.0226
296452,296452,4.71,5.81,1.11758,0.02141
89031,89031,1.81,4.61,2.80339,0.02228
201809,201809,3.41,2.11,1.30362,0.02025
151458,151458,2.71,1.51,1.20068,0.06211
673535,673535,10.01,2.21,7.80351,0.05516
425921,425921,6.51,7.41,0.9541,0.06645
477180,477180,7.21,9.11,1.90723,0.02815
710366,710366,10.51,2.41,8.10036,0.07284
425024,425024,6.51,5.21,1.32055,0.00129
239023,239023,3.91,5.21,1.31475,0.00256
541965,541965,8.11,9.61,1.50778,0.00183
561792,561792,8.41,6.41,2.02847,0.03876
622023,622023,9.31,0.91,8.401,0.08594
460793,460793,7.01,5.41,1.60377,0.00597
143475,143475,2.51,10.41,7.90138,0.08129
446986,446986,6.81,5.91,0.95382,0.06656
224755,224755,3.71,5.21,1.50535,0.00288
615433,615433,9.21,1.71,7.50075,0.01264
441702,441702,6.71,9.31,2.62719,0.09073
149249,149249,2.61,8.71,6.10244,0.08936
245902,245902,4.01,4.91,0.91999,0.08225
375445,375445,5.81,6.71,0.90373,0.08897
670818,670818,9.91,7.91,2.00738,0.03692
447843,447843,6.81,8.11,1.32018,0.00128
160938,160938,2.81,5.51,2.70479,0.08271
469706,469706,7.11,8.71,1.60449,0.00606
42436,42436,1.11,8.71,7.60055,0.02253
663258,663258,9.81,7.41,2.43496,0.07496
68868,68868,1.51,6.11,4.60213,0.00203
274032,274032,4.41,3.41,1.00558,0.05191
35295,35295,1.01,8.71,7.70019,0.04682
144398,144398,2.61,1.51,1.10472,0.08379
31176,31176,1.01,3.51,2.50113,0.0622
626603,626603,9.31,6.71,2.60207,0.08875
143107,143107,2.51,9.91,7.40349,0.08128
360383,360383,5.61,4.51,1.12156,0.02086
157511,157511,2.71,10.11,7.40421,0.09712
447676,447676,6.81,7.91,1.11807,0.02104
556551,556551,8.31,9.91,1.61558,0.00669
311455,311455,4.91,6.81,1.90297,0.02774
30708,30708,1.01,2.91,1.90164,0.08337
563961,563961,8.41,10.21,1.8157,0.02059
510686,510686,7.71,5.21,2.51049,0.08125
455252,455252,6.91,8.41,1.54534,0.00321
485855,485855,7.41,1.01,6.40037,0.04678
323905,323905,5.11,3.41,1.71014,0.01403
34209,34209,1.01,7.31,6.30077,0.04678
656945,656945,9.71,8.61,1.11003,0.02254
224323,224323,3.71,4.71,1.00128,0.05168
73575,73575,1.61,3.11,1.50258,0.02356
479037,479037,7.31,1.41,5.90075,-9e-05
333060,333060,5.21,7.11,1.90429,0.02784
303667,303667,4.81,5.91,1.12655,0.01979
447638,447638,6.81,7.81,1.06259,0.03251
630661,630661,9.41,2.71,6.70369,0.09711
431131,431131,6.61,3.91,2.71234,0.09673
429887,429887,6.61,2.41,4.20147,0.07271
659174,659174,9.81,2.31,7.50321,0.06409
56324,56324,1.31,8.31,7.00012,0.00167
100632,100632,1.91,10.21,8.30273,0.02841
520467,520467,7.81,9.51,1.75668,0.01601
448141,448141,6.81,8.51,1.70642,0.01237
98579,98579,1.91,7.71,5.80053,0.02834
95521,95521,1.91,3.91,2.00023,0.02039
236806,236806,3.91,1.41,2.50021,0.0094
532294,532294,8.01,5.41,2.60485,0.08892
70783,70783,1.51,8.51,7.00174,0.00187
27855,27855,0.91,8.41,7.50017,0.08592
457302,457302,7.01,1.01,6.00064,0.04677
53940,53940,1.31,5.31,4.00038,0.00256
326063,326063,5.11,7.21,2.11654,0.04664
620139,620139,9.21,7.61,1.60824,0.00628
48526,48526,1.21,7.41,6.20087,0.00845
475700,475700,7.21,6.21,1.00327,0.04888
33882,33882,1.01,6.91,5.90063,0.04678
76809,76809,1.61,7.21,5.60024,0.0063
549158,549158,8.21,9.61,1.42855,0.00011
140309,140309,2.51,6.41,3.90449,0.08096
468574,468574,7.11,6.21,0.90921,0.08627
345438,345438,5.41,3.61,1.81425,0.02117
232938,232938,3.81,6.51,2.70767,0.09619
34084,34084,1.01,7.21,6.20009,0.04677
46761,46761,1.21,5.21,4.00081,0.00953
565852,565852,8.51,2.61,5.90021,0.08935
59660,59660,1.41,3.51,2.10207,0.01487
128610,128610,2.31,9.61,7.30205,0.06409
280310,280310,4.51,2.31,2.20526,0.04054
637168,637168,9.51,1.91,7.60028,0.0284
511869,511869,7.71,6.71,1.01907,0.04406
196087,196087,3.31,5.01,1.70098,0.0137
293851,293851,4.71,1.51,3.20029,0.00489
448225,448225,6.81,8.61,1.80753,0.0199
153342,153342,2.71,4.91,2.20558,0.05022
282217,282217,4.51,5.81,1.31632,0.00174
336951,336951,5.31,1.91,3.40339,0.02914
497225,497225,7.51,6.31,1.20489,0.00897
477507,477507,7.21,9.51,2.30867,0.06397
311181,311181,4.91,6.41,1.5188,0.00222
70206,70206,1.51,7.81,6.30112,0.00185
333167,333167,5.21,7.21,2.01156,0.03721
148437,148437,2.61,7.71,5.10176,0.08932
553963,553963,8.31,5.61,2.71032,0.09709
155365,155365,2.71,7.51,4.80037,0.09703
426959,426959,6.51,8.71,2.22543,0.05651
100342,100342,1.91,9.91,8.00057,0.02841
187329,187329,3.21,1.81,1.40271,0.02181
385999,385999,6.01,0.91,5.10144,0.08601
81943,81943,1.71,4.71,3.00068,0.01529
680703,680703,10.11,2.21,7.90059,0.05516
520655,520655,7.81,9.81,2.01113,0.03725
594472,594472,8.91,2.41,6.50401,0.0728
362308,362308,5.61,8.01,2.41984,0.07361
239142,239142,3.91,5.41,1.50342,0.00242
311159,311159,4.91,6.41,1.51001,0.00192
141970,141970,2.51,8.51,6.0024,0.08124
194808,194808,3.31,2.31,1.00083,0.07011
658847,658847,9.81,1.91,7.90214,0.02841
366918,366918,5.71,3.81,1.90529,0.02832
586797,586797,8.81,1.81,7.002,0.02011
167674,167674,2.91,5.01,2.10841,0.04495
578181,578181,8.61,10.01,1.45576,0.00049
351844,351844,5.51,2.81,2.70046,0.08249
60507,60507,1.41,4.61,3.20062,0.00349
173158,173158,3.01,1.91,1.10242,0.05637
665601,665601,9.91,1.41,8.50009,-1e-05
45823,45823,1.21,4.01,2.80164,0.01688
642436,642436,9.51,8.41,1.19025,0.01064
436274,436274,6.71,1.51,5.20029,0.00186
707567,707567,10.41,8.21,2.23912,0.05778
527801,527801,7.91,9.81,1.90612,0.02807
605308,605308,9.01,7.01,2.01882,0.03792
148228,148228,2.61,7.41,4.80428,0.08931
125282,125282,2.31,5.51,3.20027,0.06275
265737,265737,4.31,1.91,2.40279,0.02695
432524,432524,6.61,5.71,0.91431,0.08382
532686,532686,8.01,5.91,2.10448,0.04558
555962,555962,8.31,9.11,0.91635,0.0829
448275,448275,6.81,8.61,1.83668,0.02224
52854,52854,1.31,3.91,2.60148,0.01141
310052,310052,4.91,3.91,1.01359,0.04717
462364,462364,7.01,8.41,1.42575,5e-05
474411,474411,7.21,4.51,2.71458,0.09733
446837,446837,6.81,5.81,1.00369,0.04875
259483,259483,4.21,3.01,1.20575,0.01517
145237,145237,2.61,3.71,1.10393,0.03587
112727,112727,2.11,7.61,5.50029,0.04606
138949,138949,2.51,4.71,2.20584,0.04636
67198,67198,1.51,4.01,2.50319,0.00959
670411,670411,9.91,7.41,2.50365,0.08075
564497,564497,8.51,0.91,7.60009,0.08592
672827,672827,10.01,1.41,8.60017,-1e-05
272480,272480,4.41,1.51,2.90013,0.00666
323352,323352,5.11,2.71,2.4067,0.06344
173144,173144,3.01,1.91,1.10139,0.05659
316712,316712,5.01,3.31,1.7113,0.01439
550497,550497,8.31,1.31,7.00034,0.00167
425301,425301,6.51,5.61,0.90607,0.08783
266292,266292,4.31,2.61,1.70471,0.01614
102285,102285,2.01,3.41,1.40284,0.01686
297510,297510,4.71,7.11,2.41547,0.07321
393691,393691,6.11,1.71,4.40031,0.01276
204155,204155,3.41,6.11,2.70955,0.0945
547897,547897,8.21,7.01,1.2133,0.00816
134648,134648,2.41,8.31,5.90037,0.07278
577027,577027,8.61,7.61,1.00478,0.04845
700518,700518,10.31,8.71,1.61996,0.00695
505602,505602,7.61,8.91,1.3045,0.00191
498839,498839,7.51,9.31,1.84654,0.02307
296599,296599,4.71,6.01,1.31038,0.00185
297693,297693,4.71,7.41,2.70194,0.09641
396329,396329,6.11,5.01,1.10323,0.02392
295495,295495,4.71,3.51,1.2106,0.01115
201689,201689,3.41,2.01,1.40057,0.01691
118080,118080,2.21,5.41,3.20021,0.05446
605638,605638,9.01,7.41,1.63279,0.00766
548796,548796,8.21,9.11,1.00565,0.04819
70438,70438,1.51,8.11,6.60086,0.00186
330846,330846,5.21,3.21,2.005,0.03719
88395,88395,1.81,3.81,2.00427,0.01785
608905,608905,9.11,2.51,6.60268,0.08126
81000,81000,1.71,3.51,1.80165,0.01529
350607,350607,5.51,1.21,4.30096,0.00906
446209,446209,6.81,5.01,1.80377,0.01958
119066,119066,2.21,6.61,4.40097,0.05511
671135,671135,9.91,8.31,1.60818,0.00629
403571,403571,6.21,5.11,1.11981,0.02083
536062,536062,8.11,1.11,7.00153,0.02251
474694,474694,7.21,4.91,2.30687,0.06374
715110,715110,10.51,8.31,2.21529,0.05564
74703,74703,1.61,4.51,2.90237,0.01026
109703,109703,2.11,3.81,1.7012,0.01571
571818,571818,8.61,1.01,7.60139,0.04682
74927,74927,1.61,4.81,3.20149,0.00885
145183,145183,2.61,3.61,1.00888,0.06038
118923,118923,2.21,6.41,4.20184,0.05512
666049,666049,9.91,1.91,8.0015,0.02841
558654,558654,8.41,2.51,5.90241,0.08124
427017,427017,6.51,8.81,2.31357,0.06438
60862,60862,1.41,5.01,3.60181,0.00165
111940,111940,2.11,6.61,4.50068,0.04609
477811,477811,7.21,9.91,2.70328,0.09661
54510,54510,1.31,6.01,4.70058,0.00186
340463,340463,5.31,7.41,2.11766,0.04675
465053,465053,7.11,1.81,5.30043,0.02005
31822,31822,1.01,4.31,3.30122,0.05131
71406,71406,1.51,9.31,7.80108,0.0019
230384,230384,3.81,2.21,1.60509,0.01334
87932,87932,1.81,3.31,1.50056,0.01765
403712,403712,6.21,5.31,0.91353,0.08426
665560,665560,9.91,1.31,8.60072,0.0017
350796,350796,5.51,1.41,4.1024,0.00057
31577,31577,1.01,4.01,3.0011,0.05414
598141,598141,8.91,7.01,1.93086,0.03018
261343,261343,4.21,6.41,2.21158,0.05526
644549,644549,9.61,2.11,7.50072,0.04613
486031,486031,7.41,1.21,6.20081,0.00845
541026,541026,8.11,7.31,0.89062,0.09574
188429,188429,3.21,4.31,1.10415,0.0287
600641,600641,9.01,1.21,7.80029,0.00851
304058,304058,4.81,6.41,1.61603,0.00673
390980,390980,6.01,8.31,2.30478,0.06358
286738,286738,4.61,1.51,3.10045,0.00543
202888,202888,3.41,4.61,1.20142,0.01263
337855,337855,5.31,3.11,2.20127,0.05341
243881,243881,4.01,1.31,2.701,0.01021
182617,182617,3.11,5.91,2.80534,0.0963
133698,133698,2.41,7.11,4.70073,0.07274
53829,53829,1.31,5.11,3.80192,0.003
70928,70928,1.51,8.71,7.20116,0.00188
281154,281154,4.51,3.41,1.10559,0.02699
461992,461992,7.01,7.91,0.97337,0.05911
520688,520688,7.81,9.81,2.03259,0.03917
109672,109672,2.11,3.71,1.60568,0.01376
72311,72311,1.51,10.41,8.90201,0.00191
525482,525482,7.91,5.81,2.11597,0.04661
584413,584413,8.71,7.81,0.95519,0.06605
448528,448528,6.81,9.01,2.20222,0.05444
24129,24129,0.91,3.71,2.80079,0.09645
561278,561278,8.41,5.81,2.60753,0.08915
450767,450767,6.91,1.81,5.10018,0.02006
91747,91747,1.81,8.01,6.20243,0.02008
359826,359826,5.61,3.81,1.81202,0.02074
304592,304592,4.81,7.11,2.30553,0.06362
92642,92642,1.81,9.21,7.40015,0.02012
99880,99880,1.91,9.31,7.40119,0.02839
182045,182045,3.11,5.21,2.10448,0.0454
599712,599712,8.91,10.01,1.15332,0.01542
160276,160276,2.81,4.71,1.903,0.02884
73270,73270,1.61,2.71,1.1044,0.07466
479846,479846,7.31,2.41,4.90209,0.07275
680413,680413,10.11,1.81,8.30144,0.02014
323185,323185,5.11,2.51,2.60489,0.06588
425082,425082,6.51,5.31,1.2115,0.00835
180344,180344,3.11,2.01,1.10151,0.05221
316322,316322,5.01,2.91,2.10046,0.04431
182631,182631,3.11,5.91,2.80746,0.09642
424992,424992,6.51,5.21,1.30694,0.00181
84128,84128,1.71,7.41,5.70141,0.01257
665454,665454,9.91,1.21,8.70021,0.00852
325429,325429,5.11,6.41,1.32713,0.0011
428780,428780,6.61,1.01,5.60071,0.0468
514895,514895,7.81,1.51,6.30177,0.00185
102295,102295,2.01,3.41,1.40378,0.01684
304708,304708,4.81,7.21,2.41532,0.0732
394582,394582,6.11,2.81,3.30126,0.09988
239739,239739,3.91,6.11,2.20929,0.05507
455239,455239,6.91,8.41,1.53369,0.00273
419145,419145,6.41,7.91,1.50636,0.00173
699898,699898,10.31,7.91,2.42343,0.07399
600816,600816,9.01,1.41,7.60067,-2e-05
391242,391242,6.01,8.61,2.6105,0.0894
55451,55451,1.31,7.21,5.90021,0.00162
544263,544263,8.21,2.41,5.80388,0.07278
508702,508702,7.71,2.71,5.00415,0.09704
540228,540228,8.11,6.31,1.83787,0.02232
98501,98501,1.91,7.61,5.70059,0.02833
382743,382743,5.91,6.91,1.01034,0.04667
532884,532884,8.01,6.11,1.92034,0.02924
470090,470090,7.11,9.11,2.03811,0.03964
110369,110369,2.11,4.61,2.50255,0.04039
105802,105802,2.01,7.81,5.80143,0.03709
231578,231578,3.81,4.81,1.01521,0.04701
280453,280453,4.51,2.51,2.00414,0.03388
182542,182542,3.11,5.81,2.70618,0.09056
435836,435836,6.71,0.91,5.80081,0.08589
510802,510802,7.71,5.41,2.30157,0.06328
484902,484902,7.31,9.81,2.51191,0.08144
515227,515227,7.81,1.91,5.90313,0.02834
692619,692619,10.21,8.01,2.21127,0.05528
150573,150573,2.61,10.41,7.80052,0.0894
70296,70296,1.51,7.91,6.40148,0.00185
535420,535420,8.01,10.31,2.34048,0.06679
295336,295336,4.71,3.31,1.40881,0.00291
68033,68033,1.51,5.11,3.60083,0.0033
114054,114054,2.11,9.21,7.10206,0.04612
641957,641957,9.51,7.81,1.75668,0.01601
419780,419780,6.41,8.71,2.30343,0.06348
316561,316561,5.01,3.21,1.80055,0.02088
476691,476691,7.21,8.51,1.30585,0.00184
518739,518739,7.81,6.31,1.53378,0.00271
685397,685397,10.11,8.01,2.14532,0.04933
692631,692631,10.21,8.01,2.21773,0.05586
311206,311206,4.91,6.51,1.60186,0.00593
547284,547284,8.21,6.21,2.01808,0.03782
475329,475329,7.21,5.71,1.51018,0.00183
649276,649276,9.61,8.01,1.61713,0.00678
372564,372564,5.81,2.01,3.80024,0.03735
38098,38098,1.11,3.31,2.20033,0.04378
593281,593281,8.91,1.01,7.90008,0.04683
294404,294404,4.71,2.21,2.50033,0.04635
526418,526418,7.91,7.01,0.92013,0.08109
133368,133368,2.41,6.71,4.30041,0.07272
345794,345794,5.41,4.11,1.30684,0.00252
702999,702999,10.41,2.51,7.90276,0.08129
84201,84201,1.71,7.51,5.80113,0.01257
268618,268618,4.31,6.61,2.31033,0.06405
569296,569296,8.51,6.91,1.60292,0.00597
417107,417107,6.41,4.21,2.21158,0.05526
443645,443645,6.81,1.81,5.00039,0.02007
94780,94780,1.91,2.91,1.00488,0.0848
182300,182300,3.11,5.51,2.40627,0.06978
680345,680345,10.11,1.71,8.40186,0.01265
532802,532802,8.01,6.01,2.01803,0.03781
455748,455748,6.91,9.11,2.20332,0.05454
128348,128348,2.31,9.31,7.00097,0.06408
45980,45980,1.21,4.21,3.00149,0.01477
600464,600464,9.01,1.01,8.00008,0.04683
208753,208753,3.51,1.91,1.60162,0.01477
499192,499192,7.51,9.81,2.30972,0.06407
513489,513489,7.71,9.81,2.10678,0.04584
382157,382157,5.91,5.01,0.94155,0.07175
27377,27377,0.91,7.81,6.90019,0.0859
454112,454112,6.91,5.91,1.04254,0.03751
88783,88783,1.81,4.31,2.50295,0.02192
644053,644053,9.61,1.51,8.10019,0.0019
528908,528908,8.01,1.21,6.80008,0.00847
85223,85223,1.71,8.81,7.10054,0.01263
569243,569243,8.51,6.81,1.71216,0.01277
329295,329295,5.21,1.31,3.9003,0.00276
153266,153266,2.71,4.81,2.1063,0.04318
561323,561323,8.41,5.81,2.62517,0.09055
457460,457460,7.01,1.21,5.80075,0.00845
109268,109268,2.11,3.21,1.10653,0.04749
117268,117268,2.21,4.31,2.10482,0.03286
369734,369734,5.71,8.41,2.71335,0.09732
282142,282142,4.51,5.71,1.21966,0.00792
483740,483740,7.31,8.31,1.06973,0.03086
550320,550320,8.31,1.11,7.20009,0.02252
148449,148449,2.61,7.71,5.10258,0.08932
135376,135376,2.41,9.21,6.80058,0.07281
489959,489959,7.41,6.11,1.32458,0.0011
626717,626717,9.31,6.81,2.51211,0.08144
615396,615396,9.21,1.61,7.60237,0.00637
550647,550647,8.31,1.51,6.80023,0.00187
429165,429165,6.61,1.51,5.1007,0.00187
663410,663410,9.81,7.61,2.23265,0.05719
520840,520840,7.81,10.01,2.22449,0.05646
578379,578379,8.61,10.31,1.71147,0.01276
128461,128461,2.31,9.41,7.10276,0.06408
254021,254021,4.11,6.21,2.10281,0.0455
701764,701764,10.41,1.01,9.40028,0.04685
187161,187161,3.21,1.61,1.60165,0.01965
56257,56257,1.31,8.21,6.90029,0.00166
245235,245235,4.01,3.01,1.00501,0.05562
231796,231796,3.81,5.11,1.30644,0.00314
479987,479987,7.31,2.61,4.70118,0.0893
497377,497377,7.51,6.51,1.00327,0.04889
251649,251649,4.11,2.11,2.00284,0.02596
333346,333346,5.21,7.41,2.21776,0.05578
386929,386929,6.01,2.11,3.90213,0.04619
332240,332240,5.21,6.11,0.90196,0.08995
139916,139916,2.51,5.91,3.40552,0.07978
76312,76312,1.61,6.51,4.90249,0.00637
290354,290354,4.61,7.11,2.50525,0.08079
429332,429332,6.61,1.71,4.90107,0.01262
73879,73879,1.61,3.51,1.90142,0.01482
429995,429995,6.61,2.51,4.10365,0.08109
100235,100235,1.91,9.71,7.80295,0.0284
142017,142017,2.51,8.61,6.10067,0.08125
351045,351045,5.51,1.81,3.70023,0.0207
324321,324321,5.11,4.01,1.10114,0.02539
114233,114233,2.11,9.41,7.30323,0.04612
680882,680882,10.11,2.41,7.70146,0.07283
146985,146985,2.61,5.91,3.3013,0.0866
527886,527886,7.91,9.91,2.00778,0.03696
168207,168207,2.91,5.71,2.80366,0.09074
615066,615066,9.21,1.21,8.00135,0.00851
236614,236614,3.91,1.11,2.80117,0.0318
484056,484056,7.31,8.71,1.44864,0.00034
453562,453562,6.91,5.21,1.7277,0.01383
104575,104575,2.01,6.31,4.3005,0.03717
651548,651548,9.71,1.81,7.90167,0.02013
518162,518162,7.81,5.61,2.21337,0.0554
357636,357636,5.61,1.11,4.5006,0.02295
74148,74148,1.61,3.81,2.20296,0.01345
201365,201365,3.41,1.61,1.80026,0.01572
160721,160721,2.81,5.31,2.50036,0.0716
708424,708424,10.41,9.31,1.14708,0.01635
237170,237170,3.91,1.81,2.10227,0.01894
561626,561626,8.41,6.21,2.22182,0.05618
554081,554081,8.31,5.81,2.50154,0.08053
216218,216218,3.61,2.31,1.30535,0.01608
329178,329178,5.21,1.11,4.10118,0.0235
182146,182146,3.11,5.31,2.20761,0.05395
123531,123531,2.31,3.31,1.00101,0.07005
450623,450623,6.91,1.61,5.30044,0.00631
369389,369389,5.71,8.01,2.30656,0.06373
338384,338384,5.31,3.71,1.61189,0.00741
598713,598713,8.91,7.71,1.26897,0.00376
27381,27381,0.91,7.81,6.90024,0.0859
47890,47890,1.21,6.61,5.401,0.00848
304847,304847,4.81,7.41,2.60845,0.08918
