,r1,r2,v
214,0.81,1.81,0.19733
215,0.81,1.91,0.19031
216,0.81,2.01,0.18431
217,0.81,2.11,0.17916
218,0.81,2.21,0.17471
219,0.81,2.31,0.17085
220,0.81,2.41,0.1675
221,0.81,2.51,0.16457
222,0.81,2.61,0.16202
223,0.81,2.71,0.1598
224,0.81,2.81,0.15786
225,0.81,2.91,0.15618
226,0.81,3.01,0.15472
227,0.81,3.11,0.15346
228,0.81,3.21,0.15238
229,0.81,3.31,0.15145
230,0.81,3.41,0.15066
231,0.81,3.51,0.14999
232,0.81,3.61,0.14942
233,0.81,3.71,0.14894
234,0.81,3.81,0.14854
235,0.81,3.91,0.14821
236,0.81,4.01,0.14794
237,0.81,4.11,0.14772
238,0.81,4.21,0.14754
239,0.81,4.31,0.14739
240,0.81,4.41,0.14728
241,0.81,4.51,0.14719
242,0.81,4.61,0.14711
243,0.81,4.71,0.14705
244,0.81,4.81,0.147
245,0.81,4.91,0.14696
246,0.81,5.01,0.14693
247,0.81,5.11,0.1469
248,0.81,5.21,0.14687
249,0.81,5.31,0.14685
250,0.81,5.41,0.14683
251,0.81,5.51,0.14682
252,0.81,5.61,0.14681
253,0.81,5.71,0.1468
254,0.81,5.81,0.14679
255,0.81,5.91,0.14679
256,0.81,6.01,0.14678
257,0.81,6.11,0.14678
258,0.81,6.21,0.14678
259,0.81,6.31,0.14678
260,0.81,6.41,0.14679
261,0.81,6.51,0.14679
262,0.81,6.61,0.14679
263,0.81,6.71,0.1468
264,0.81,6.81,0.1468
265,0.81,6.91,0.1468
266,0.81,7.01,0.14681
267,0.81,7.11,0.14681
268,0.81,7.21,0.14681
269,0.81,7.31,0.14682
270,0.81,7.41,0.14682
271,0.81,7.51,0.14682
272,0.81,7.61,0.14683
273,0.81,7.71,0.14683
274,0.81,7.81,0.14683
275,0.81,7.91,0.14683
276,0.81,8.01,0.14683
277,0.81,8.11,0.14684
278,0.81,8.21,0.14684
279,0.81,8.31,0.14684
280,0.81,8.41,0.14684
281,0.81,8.51,0.14684
282,0.81,8.61,0.14684
283,0.81,8.71,0.14684
284,0.81,8.81,0.14685
285,0.81,8.91,0.14685
286,0.81,9.01,0.14685
287,0.81,9.11,0.14685
288,0.81,9.21,0.14685
289,0.81,9.31,0.14685
290,0.81,9.41,0.14685
291,0.81,9.51,0.14685
292,0.81,9.61,0.14685
293,0.81,9.71,0.14685
294,0.81,9.81,0.14685
295,0.81,9.91,0.14685
296,0.81,10.01,0.14685
297,0.81,10.11,0.14685
298,0.81,10.21,0.14685
299,0.81,10.31,0.14686
300,0.81,10.41,0.14686
301,0.81,10.51,0.14686
303,0.91,0.61,0.66503
304,0.91,0.71,0.50918
305,0.91,0.81,0.40443
306,0.91,0.91,0.33137
307,0.91,1.01,0.27912
308,0.91,1.11,0.24094
