,r1,r2,v
2592,3.11,7.31,0.12366
2593,3.11,7.41,0.12366
2594,3.11,7.51,0.12366
2595,3.11,7.61,0.12366
2596,3.11,7.71,0.12366
2597,3.11,7.81,0.12367
2598,3.11,7.91,0.12367
2599,3.11,8.01,0.12367
2600,3.11,8.11,0.12367
2601,3.11,8.21,0.12367
2602,3.11,8.31,0.12367
2603,3.11,8.41,0.12367
2604,3.11,8.51,0.12367
2605,3.11,8.61,0.12367
2606,3.11,8.71,0.12367
2607,3.11,8.81,0.12367
2608,3.11,8.91,0.12367
2609,3.11,9.01,0.12368
2610,3.11,9.11,0.12368
2611,3.11,9.21,0.12368
2612,3.11,9.31,0.12368
2613,3.11,9.41,0.12368
2614,3.11,9.51,0.12368
2615,3.11,9.61,0.12368
2616,3.11,9.71,0.12368
2617,3.11,9.81,0.12368
2618,3.11,9.91,0.12368
2619,3.11,10.01,0.12368
2620,3.11,10.11,0.12368
2621,3.11,10.21,0.12368
2622,3.11,10.31,0.12368
2623,3.11,10.41,0.12368
2624,3.11,10.51,0.12368
2626,3.21,0.61,0.39233
2627,3.21,0.71,0.24656
2628,3.21,0.81,0.15238
2629,3.21,0.91,0.09123
2630,3.21,1.01,0.05205
2631,3.21,1.11,0.02755
2632,3.21,1.21,0.01301
2633,3.21,1.31,0.00566
2634,3.21,1.41,0.00343
2635,3.21,1.51,0.00484
2636,3.21,1.61,0.00881
2637,3.21,1.71,0.01459
2638,3.21,1.81,0.02158
2639,3.21,1.91,0.02936
2640,3.21,2.01,0.0376
2641,3.21,2.11,0.04604
2642,3.21,2.21,0.05449
2643,3.21,2.31,0.0628
2644,3.21,2.41,0.07083
2645,3.21,2.51,0.07849
2646,3.21,2.61,0.0857
2647,3.21,2.71,0.09238
2648,3.21,2.81,0.09849
2649,3.21,2.91,0.10398
2650,3.21,3.01,0.10882
2651,3.21,3.11,0.11301
2652,3.21,3.21,0.11654
2653,3.21,3.31,0.11945
2654,3.21,3.41,0.12178
2655,3.21,3.51,0.12362
2656,3.21,3.61,0.12504
2657,3.21,3.71,0.12611
2658,3.21,3.81,0.12692
2659,3.21,3.91,0.12751
2660,3.21,4.01,0.12794
2661,3.21,4.11,0.12826
2662,3.21,4.21,0.12849
2663,3.21,4.31,0.12866
2664,3.21,4.41,0.12878
2665,3.21,4.51,0.12886
2666,3.21,4.61,0.12893
2667,3.21,4.71,0.12897
2668,3.21,4.81,0.12901
2669,3.21,4.91,0.12903
2670,3.21,5.01,0.12905
2671,3.21,5.11,0.12906
2672,3.21,5.21,0.12908
2673,3.21,5.31,0.12908
2674,3.21,5.41,0.12909
2675,3.21,5.51,0.1291
2676,3.21,5.61,0.1291
2677,3.21,5.71,0.12911
2678,3.21,5.81,0.12911
2679,3.21,5.91,0.12912
2680,3.21,6.01,0.12912
2681,3.21,6.11,0.12912
2682,3.21,6.21,0.12913
2683,3.21,6.31,0.12913
2684,3.21,6.41,0.12913
2685,3.21,6.51,0.12914
2686,3.21,6.61,0.12914
2687,3.21,6.71,0.12914
2688,3.21,6.81,0.12914
2689,3.21,6.91,0.12914
2690,3.21,7.01,0.12915
2691,3.21,7.11,0.12915
2692,3.21,7.21,0.12915
2693,3.21,7.31,0.12915
2694,3.21,7.41,0.12915
2695,3.21,7.51,0.12916
2696,3.21,7.61,0.12916
2697,3.21,7.71,0.12916
2698,3.21,7.81,0.12916
2699,3.21,7.91,0.12916
2700,3.21,8.01,0.12916
2701,3.21,8.11,0.12916
2702,3.21,8.21,0.12916
2703,3.21,8.31,0.12916
2704,3.21,8.41,0.12917
2705,3.21,8.51,0.12917
2706,3.21,8.61,0.12917
2707,3.21,8.71,0.12917
2708,3.21,8.81,0.12917
2709,3.21,8.91,0.12917
2710,3.21,9.01,0.12917
2711,3.21,9.11,0.12917
2712,3.21,9.21,0.12917
2713,3.21,9.31,0.12917
2714,3.21,9.41,0.12917
2715,3.21,9.51,0.12917
2716,3.21,9.61,0.12917
2717,3.21,9.71,0.12917
2718,3.21,9.81,0.12917
2719,3.21,9.91,0.12917
2720,3.21,10.01,0.12917
2721,3.21,10.11,0.12917
2722,3.21,10.21,0.12917
2723,3.21,10.31,0.12917
2724,3.21,10.41,0.12917
2725,3.21,10.51,0.12917
2727,3.31,0.61,0.3914
2728,3.31,0.71,0.24563
2729,3.31,0.81,0.15145
2730,3.31,0.91,0.09035
2731,3.31,1.01,0.05123
2732,3.31,1.11,0.0268
2733,3.31,1.21,0.01232
2734,3.31,1.31,0.00504
2735,3.31,1.41,0.00288
2736,3.31,1.51,0.00436
2737,3.31,1.61,0.00842
2738,3.31,1.71,0.01428
2739,3.31,1.81,0.02137
2740,3.31,1.91,0.02925
2741,3.31,2.01,0.03759
2742,3.31,2.11,0.04616
2743,3.31,2.21,0.05474
2744,3.31,2.31,0.06319
2745,3.31,2.41,0.07139
2746,3.31,2.51,0.07925
2747,3.31,2.61,0.08667
2748,3.31,2.71,0.09361
2749,3.31,2.81,0.1
2750,3.31,2.91,0.1058
2751,3.31,3.01,0.11099
2752,3.31,3.11,0.11554
2753,3.31,3.21,0.11945
2754,3.31,3.31,0.12272
2755,3.31,3.41,0.12541
2756,3.31,3.51,0.12756
2757,3.31,3.61,0.12923
2758,3.31,3.71,0.13052
2759,3.31,3.81,0.13148
2760,3.31,3.91,0.1322
2761,3.31,4.01,0.13273
2762,3.31,4.11,0.13312
2763,3.31,4.21,0.1334
2764,3.31,4.31,0.1336
2765,3.31,4.41,0.13375
2766,3.31,4.51,0.13386
2767,3.31,4.61,0.13393
2768,3.31,4.71,0.13399
2769,3.31,4.81,0.13403
2770,3.31,4.91,0.13406
2771,3.31,5.01,0.13408
2772,3.31,5.11,0.1341
2773,3.31,5.21,0.13411
2774,3.31,5.31,0.13413
2775,3.31,5.41,0.13413
2776,3.31,5.51,0.13414
2777,3.31,5.61,0.13415
2778,3.31,5.71,0.13415
2779,3.31,5.81,0.13416
2780,3.31,5.91,0.13416
2781,3.31,6.01,0.13416
2782,3.31,6.11,0.13417
2783,3.31,6.21,0.13417
2784,3.31,6.31,0.13417
2785,3.31,6.41,0.13418
2786,3.31,6.51,0.13418
2787,3.31,6.61,0.13418
2788,3.31,6.71,0.13418
2789,3.31,6.81,0.13419
2790,3.31,6.91,0.13419
2791,3.31,7.01,0.13419
2792,3.31,7.11,0.13419
2793,3.31,7.21,0.13419
2794,3.31,7.31,0.1342
2795,3.31,7.41,0.1342
2796,3.31,7.51,0.1342
2797,3.31,7.61,0.1342
2798,3.31,7.71,0.1342
2799,3.31,7.81,0.1342
2800,3.31,7.91,0.1342
2801,3.31,8.01,0.1342
2802,3.31,8.11,0.13421
2803,3.31,8.21,0.13421
2804,3.31,8.31,0.13421
2805,3.31,8.41,0.13421
2806,3.31,8.51,0.13421
2807,3.31,8.61,0.13421
2808,3.31,8.71,0.13421
2809,3.31,8.81,0.13421
2810,3.31,8.91,0.13421
2811,3.31,9.01,0.13421
2812,3.31,9.11,0.13421
2813,3.31,9.21,0.13421
2814,3.31,9.31,0.13421
2815,3.31,9.41,0.13421
2816,3.31,9.51,0.13421
2817,3.31,9.61,0.13421
2818,3.31,9.71,0.13421
2819,3.31,9.81,0.13422
2820,3.31,9.91,0.13422
2821,3.31,10.01,0.13422
2822,3.31,10.11,0.13422
2823,3.31,10.21,0.13422
2824,3.31,10.31,0.13422
2825,3.31,10.41,0.13422
2826,3.31,10.51,0.13422
2828,3.41,0.61,0.39065
2829,3.41,0.71,0.24485
2830,3.41,0.81,0.15066
2831,3.41,0.91,0.08959
2832,3.41,1.01,0.05053
2833,3.41,1.11,0.02613
2834,3.41,1.21,0.01171
2835,3.41,1.31,0.00449
2836,3.41,1.41,0.00239
2837,3.41,1.51,0.00394
2838,3.41,1.61,0.00807
2839,3.41,1.71,0.014
2840,3.41,1.81,0.02117
2841,3.41,1.91,0.02913
2842,3.41,2.01,0.03756
2843,3.41,2.11,0.04622
2844,3.41,2.21,0.0549
2845,3.41,2.31,0.06347
2846,3.41,2.41,0.0718
2847,3.41,2.51,0.0798
2848,3.41,2.61,0.0874
2849,3.41,2.71,0.09453
2850,3.41,2.81,0.10114
2851,3.41,2.91,0.1072
2852,3.41,3.01,0.11268
2853,3.41,3.11,0.11754
2854,3.41,3.21,0.12178
2855,3.41,3.31,0.12541
2856,3.41,3.41,0.12843
2857,3.41,3.51,0.13089
2858,3.41,3.61,0.13285
2859,3.41,3.71,0.13437
2860,3.41,3.81,0.13553
2861,3.41,3.91,0.13639
2862,3.41,4.01,0.13703
2863,3.41,4.11,0.1375
2864,3.41,4.21,0.13784
2865,3.41,4.31,0.13809
2866,3.41,4.41,0.13827
2867,3.41,4.51,0.1384
2868,3.41,4.61,0.1385
2869,3.41,4.71,0.13856
2870,3.41,4.81,0.13861
2871,3.41,4.91,0.13865
2872,3.41,5.01,0.13868
2873,3.41,5.11,0.1387
2874,3.41,5.21,0.13871
2875,3.41,5.31,0.13873
2876,3.41,5.41,0.13874
2877,3.41,5.51,0.13874
2878,3.41,5.61,0.13875
2879,3.41,5.71,0.13876
2880,3.41,5.81,0.13876
2881,3.41,5.91,0.13876
2882,3.41,6.01,0.13877
2883,3.41,6.11,0.13877
2884,3.41,6.21,0.13878
2885,3.41,6.31,0.13878
2886,3.41,6.41,0.13878
2887,3.41,6.51,0.13878
2888,3.41,6.61,0.13879
2889,3.41,6.71,0.13879
2890,3.41,6.81,0.13879
2891,3.41,6.91,0.13879
2892,3.41,7.01,0.13879
2893,3.41,7.11,0.1388
2894,3.41,7.21,0.1388
2895,3.41,7.31,0.1388
2896,3.41,7.41,0.1388
2897,3.41,7.51,0.1388
2898,3.41,7.61,0.1388
2899,3.41,7.71,0.13881
2900,3.41,7.81,0.13881
2901,3.41,7.91,0.13881
2902,3.41,8.01,0.13881
2903,3.41,8.11,0.13881
2904,3.41,8.21,0.13881
2905,3.41,8.31,0.13881
2906,3.41,8.41,0.13881
2907,3.41,8.51,0.13881
2908,3.41,8.61,0.13881
2909,3.41,8.71,0.13881
2910,3.41,8.81,0.13881
2911,3.41,8.91,0.13882
2912,3.41,9.01,0.13882
2913,3.41,9.11,0.13882
2914,3.41,9.21,0.13882
2915,3.41,9.31,0.13882
2916,3.41,9.41,0.13882
2917,3.41,9.51,0.13882
2918,3.41,9.61,0.13882
2919,3.41,9.71,0.13882
2920,3.41,9.81,0.13882
2921,3.41,9.91,0.13882
2922,3.41,10.01,0.13882
2923,3.41,10.11,0.13882
2924,3.41,10.21,0.13882
2925,3.41,10.31,0.13882
2926,3.41,10.41,0.13882
2927,3.41,10.51,0.13882
2929,3.51,0.61,0.39004
2930,3.51,0.71,0.24419
2931,3.51,0.81,0.14999
2932,3.51,0.91,0.08895
2933,3.51,1.01,0.04992
2934,3.51,1.11,0.02555
2935,3.51,1.21,0.01118
2936,3.51,1.31,0.00401
2937,3.51,1.41,0.00197
2938,3.51,1.51,0.00358
2939,3.51,1.61,0.00777
2940,3.51,1.71,0.01376
2941,3.51,1.81,0.02098
2942,3.51,1.91,0.02901
2943,3.51,2.01,0.03751
2944,3.51,2.11,0.04624
2945,3.51,2.21,0.055
2946,3.51,2.31,0.06366
2947,3.51,2.41,0.07209
2948,3.51,2.51,0.08021
2949,3.51,2.61,0.08793
2950,3.51,2.71,0.09521
2951,3.51,2.81,0.102
2952,3.51,2.91,0.10826
2953,3.51,3.01,0.11397
2954,3.51,3.11,0.11909
2955,3.51,3.21,0.12362
2956,3.51,3.31,0.12756
2957,3.51,3.41,0.13089
2958,3.51,3.51,0.13367
2959,3.51,3.61,0.13591
2960,3.51,3.71,0.13768
2961,3.51,3.81,0.13905
2962,3.51,3.91,0.14008
2963,3.51,4.01,0.14085
2964,3.51,4.11,0.14142
2965,3.51,4.21,0.14184
2966,3.51,4.31,0.14214
2967,3.51,4.41,0.14236
2968,3.51,4.51,0.14251
2969,3.51,4.61,0.14263
2970,3.51,4.71,0.14271
2971,3.51,4.81,0.14277
2972,3.51,4.91,0.14281
2973,3.51,5.01,0.14285
2974,3.51,5.11,0.14287
2975,3.51,5.21,0.14289
2976,3.51,5.31,0.1429
2977,3.51,5.41,0.14291
2978,3.51,5.51,0.14292
2979,3.51,5.61,0.14293
2980,3.51,5.71,0.14294
2981,3.51,5.81,0.14294
2982,3.51,5.91,0.14295
2983,3.51,6.01,0.14295
2984,3.51,6.11,0.14295
2985,3.51,6.21,0.14296
2986,3.51,6.31,0.14296
2987,3.51,6.41,0.14296
2988,3.51,6.51,0.14297
2989,3.51,6.61,0.14297
2990,3.51,6.71,0.14297
2991,3.51,6.81,0.14297
2992,3.51,6.91,0.14297
2993,3.51,7.01,0.14298
2994,3.51,7.11,0.14298
2995,3.51,7.21,0.14298
2996,3.51,7.31,0.14298
2997,3.51,7.41,0.14298
2998,3.51,7.51,0.14298
2999,3.51,7.61,0.14299
3000,3.51,7.71,0.14299
3001,3.51,7.81,0.14299
3002,3.51,7.91,0.14299
3003,3.51,8.01,0.14299
3004,3.51,8.11,0.14299
3005,3.51,8.21,0.14299
3006,3.51,8.31,0.14299
3007,3.51,8.41,0.14299
3008,3.51,8.51,0.14299
3009,3.51,8.61,0.14299
3010,3.51,8.71,0.14299
3011,3.51,8.81,0.143
3012,3.51,8.91,0.143
3013,3.51,9.01,0.143
3014,3.51,9.11,0.143
3015,3.51,9.21,0.143
3016,3.51,9.31,0.143
3017,3.51,9.41,0.143
3018,3.51,9.51,0.143
3019,3.51,9.61,0.143
3020,3.51,9.71,0.143
3021,3.51,9.81,0.143
3022,3.51,9.91,0.143
3023,3.51,10.01,0.143
3024,3.51,10.11,0.143
3025,3.51,10.21,0.143
3026,3.51,10.31,0.143
3027,3.51,10.41,0.143
3028,3.51,10.51,0.143
3030,3.61,0.61,0.38954
3031,3.61,0.71,0.24363
3032,3.61,0.81,0.14942
3033,3.61,0.91,0.08841
3034,3.61,1.01,0.04939
3035,3.61,1.11,0.02505
3036,3.61,1.21,0.01072
3037,3.61,1.31,0.0036
3038,3.61,1.41,0.00161
3039,3.61,1.51,0.00327
3040,3.61,1.61,0.00751
3041,3.61,1.71,0.01355
3042,3.61,1.81,0.02082
3043,3.61,1.91,0.0289
3044,3.61,2.01,0.03745
3045,3.61,2.11,0.04624
3046,3.61,2.21,0.05507
3047,3.61,2.31,0.06379
3048,3.61,2.41,0.0723
3049,3.61,2.51,0.0805
3050,3.61,2.61,0.08833
3051,3.61,2.71,0.09572
3052,3.61,2.81,0.10264
3053,3.61,2.91,0.10906
3054,3.61,3.01,0.11494
3055,3.61,3.11,0.12028
3056,3.61,3.21,0.12504
3057,3.61,3.31,0.12923
3058,3.61,3.41,0.13285
3059,3.61,3.51,0.13591
3060,3.61,3.61,0.13843
3061,3.61,3.71,0.14046
3062,3.61,3.81,0.14206
3063,3.61,3.91,0.14328
3064,3.61,4.01,0.1442
3065,3.61,4.11,0.14488
3066,3.61,4.21,0.14539
3067,3.61,4.31,0.14575
3068,3.61,4.41,0.14602
3069,3.61,4.51,0.14621
3070,3.61,4.61,0.14634
3071,3.61,4.71,0.14644
3072,3.61,4.81,0.14652
3073,3.61,4.91,0.14657
3074,3.61,5.01,0.14661
3075,3.61,5.11,0.14664
3076,3.61,5.21,0.14666
3077,3.61,5.31,0.14667
3078,3.61,5.41,0.14669
3079,3.61,5.51,0.1467
3080,3.61,5.61,0.1467
3081,3.61,5.71,0.14671
3082,3.61,5.81,0.14672
3083,3.61,5.91,0.14672
3084,3.61,6.01,0.14673
3085,3.61,6.11,0.14673
3086,3.61,6.21,0.14673
3087,3.61,6.31,0.14674
3088,3.61,6.41,0.14674
3089,3.61,6.51,0.14674
3090,3.61,6.61,0.14675
3091,3.61,6.71,0.14675
3092,3.61,6.81,0.14675
3093,3.61,6.91,0.14675
3094,3.61,7.01,0.14675
3095,3.61,7.11,0.14676
3096,3.61,7.21,0.14676
3097,3.61,7.31,0.14676
3098,3.61,7.41,0.14676
3099,3.61,7.51,0.14676
3100,3.61,7.61,0.14676
3101,3.61,7.71,0.14676
3102,3.61,7.81,0.14676
3103,3.61,7.91,0.14677
3104,3.61,8.01,0.14677
3105,3.61,8.11,0.14677
3106,3.61,8.21,0.14677
3107,3.61,8.31,0.14677
3108,3.61,8.41,0.14677
3109,3.61,8.51,0.14677
3110,3.61,8.61,0.14677
3111,3.61,8.71,0.14677
3112,3.61,8.81,0.14677
3113,3.61,8.91,0.14677
3114,3.61,9.01,0.14677
3115,3.61,9.11,0.14677
3116,3.61,9.21,0.14677
3117,3.61,9.31,0.14677
3118,3.61,9.41,0.14677
3119,3.61,9.51,0.14678
3120,3.61,9.61,0.14678
3121,3.61,9.71,0.14678
3122,3.61,9.81,0.14678
3123,3.61,9.91,0.14678
3124,3.61,10.01,0.14678
3125,3.61,10.11,0.14678
3126,3.61,10.21,0.14678
3127,3.61,10.31,0.14678
3128,3.61,10.41,0.14678
3129,3.61,10.51,0.14678
3131,3.71,0.61,0.38912
3132,3.71,0.71,0.24315
3133,3.71,0.81,0.14894
3134,3.71,0.91,0.08795
3135,3.71,1.01,0.04894
3136,3.71,1.11,0.02462
3137,3.71,1.21,0.01033
3138,3.71,1.31,0.00326
3139,3.71,1.41,0.00131
3140,3.71,1.51,0.00301
3141,3.71,1.61,0.00729
3142,3.71,1.71,0.01337
3143,3.71,1.81,0.02068
3144,3.71,1.91,0.0288
3145,3.71,2.01,0.0374
3146,3.71,2.11,0.04623
3147,3.71,2.21,0.0551
3148,3.71,2.31,0.06388
3149,3.71,2.41,0.07244
3150,3.71,2.51,0.08071
3151,3.71,2.61,0.08861
3152,3.71,2.71,0.09609
3153,3.71,2.81,0.10311
3154,3.71,2.91,0.10965
3155,3.71,3.01,0.11567
3156,3.71,3.11,0.12116
3157,3.71,3.21,0.12611
3158,3.71,3.31,0.13052
3159,3.71,3.41,0.13437
3160,3.71,3.51,0.13768
3161,3.71,3.61,0.14046
3162,3.71,3.71,0.14274
3163,3.71,3.81,0.14457
3164,3.71,3.91,0.146
3165,3.71,4.01,0.14709
3166,3.71,4.11,0.14791
3167,3.71,4.21,0.14851
3168,3.71,4.31,0.14895
3169,3.71,4.41,0.14927
3170,3.71,4.51,0.1495
3171,3.71,4.61,0.14967
3172,3.71,4.71,0.14979
3173,3.71,4.81,0.14988
3174,3.71,4.91,0.14994
3175,3.71,5.01,0.14998
3176,3.71,5.11,0.15002
3177,3.71,5.21,0.15004
3178,3.71,5.31,0.15006
3179,3.71,5.41,0.15008
3180,3.71,5.51,0.15009
3181,3.71,5.61,0.1501
3182,3.71,5.71,0.15011
3183,3.71,5.81,0.15011
3184,3.71,5.91,0.15012
3185,3.71,6.01,0.15012
3186,3.71,6.11,0.15013
3187,3.71,6.21,0.15013
3188,3.71,6.31,0.15013
3189,3.71,6.41,0.15014
3190,3.71,6.51,0.15014
3191,3.71,6.61,0.15014
3192,3.71,6.71,0.15014
3193,3.71,6.81,0.15015
3194,3.71,6.91,0.15015
3195,3.71,7.01,0.15015
3196,3.71,7.11,0.15015
3197,3.71,7.21,0.15015
3198,3.71,7.31,0.15015
3199,3.71,7.41,0.15016
3200,3.71,7.51,0.15016
3201,3.71,7.61,0.15016
3202,3.71,7.71,0.15016
3203,3.71,7.81,0.15016
3204,3.71,7.91,0.15016
3205,3.71,8.01,0.15016
3206,3.71,8.11,0.15016
3207,3.71,8.21,0.15016
3208,3.71,8.31,0.15016
3209,3.71,8.41,0.15017
3210,3.71,8.51,0.15017
3211,3.71,8.61,0.15017
3212,3.71,8.71,0.15017
3213,3.71,8.81,0.15017
3214,3.71,8.91,0.15017
3215,3.71,9.01,0.15017
3216,3.71,9.11,0.15017
3217,3.71,9.21,0.15017
3218,3.71,9.31,0.15017
3219,3.71,9.41,0.15017
3220,3.71,9.51,0.15017
3221,3.71,9.61,0.15017
3222,3.71,9.71,0.15017
3223,3.71,9.81,0.15017
3224,3.71,9.91,0.15017
3225,3.71,10.01,0.15017
3226,3.71,10.11,0.15017
3227,3.71,10.21,0.15017
3228,3.71,10.31,0.15017
3229,3.71,10.41,0.15017
3230,3.71,10.51,0.15017
3232,3.81,0.61,0.38877
3233,3.81,0.71,0.24275
3234,3.81,0.81,0.14854
3235,3.81,0.91,0.08757
3236,3.81,1.01,0.04857
3237,3.81,1.11,0.02425
3238,3.81,1.21,0.01001
3239,3.81,1.31,0.00297
3240,3.81,1.41,0.00106
3241,3.81,1.51,0.0028
3242,3.81,1.61,0.00711
3243,3.81,1.71,0.01322
3244,3.81,1.81,0.02057
3245,3.81,1.91,0.02872
3246,3.81,2.01,0.03734
3247,3.81,2.11,0.04621
3248,3.81,2.21,0.05512
3249,3.81,2.31,0.06393
3250,3.81,2.41,0.07254
3251,3.81,2.51,0.08086
3252,3.81,2.61,0.08882
3253,3.81,2.71,0.09636
3254,3.81,2.81,0.10346
3255,3.81,2.91,0.11008
3256,3.81,3.01,0.11621
3257,3.81,3.11,0.12182
3258,3.81,3.21,0.12692
3259,3.81,3.31,0.13148
3260,3.81,3.41,0.13553
3261,3.81,3.51,0.13905
3262,3.81,3.61,0.14206
3263,3.81,3.71,0.14457
3264,3.81,3.81,0.14663
3265,3.81,3.91,0.14826
3266,3.81,4.01,0.14954
3267,3.81,4.11,0.1505
3268,3.81,4.21,0.15122
3269,3.81,4.31,0.15175
3270,3.81,4.41,0.15214
3271,3.81,4.51,0.15242
3272,3.81,4.61,0.15262
3273,3.81,4.71,0.15276
3274,3.81,4.81,0.15287
3275,3.81,4.91,0.15294
3276,3.81,5.01,0.153
3277,3.81,5.11,0.15304
3278,3.81,5.21,0.15307
3279,3.81,5.31,0.15309
3280,3.81,5.41,0.15311
3281,3.81,5.51,0.15312
3282,3.81,5.61,0.15313
3283,3.81,5.71,0.15314
3284,3.81,5.81,0.15315
3285,3.81,5.91,0.15315
3286,3.81,6.01,0.15316
3287,3.81,6.11,0.15316
3288,3.81,6.21,0.15317
3289,3.81,6.31,0.15317
3290,3.81,6.41,0.15317
3291,3.81,6.51,0.15318
3292,3.81,6.61,0.15318
3293,3.81,6.71,0.15318
3294,3.81,6.81,0.15318
3295,3.81,6.91,0.15319
3296,3.81,7.01,0.15319
3297,3.81,7.11,0.15319
3298,3.81,7.21,0.15319
3299,3.81,7.31,0.15319
3300,3.81,7.41,0.15319
3301,3.81,7.51,0.15319
3302,3.81,7.61,0.1532
3303,3.81,7.71,0.1532
3304,3.81,7.81,0.1532
3305,3.81,7.91,0.1532
3306,3.81,8.01,0.1532
3307,3.81,8.11,0.1532
3308,3.81,8.21,0.1532
3309,3.81,8.31,0.1532
3310,3.81,8.41,0.1532
3311,3.81,8.51,0.1532
3312,3.81,8.61,0.1532
3313,3.81,8.71,0.1532
3314,3.81,8.81,0.15321
3315,3.81,8.91,0.15321
3316,3.81,9.01,0.15321
3317,3.81,9.11,0.15321
3318,3.81,9.21,0.15321
3319,3.81,9.31,0.15321
3320,3.81,9.41,0.15321
3321,3.81,9.51,0.15321
3322,3.81,9.61,0.15321
3323,3.81,9.71,0.15321
3324,3.81,9.81,0.15321
3325,3.81,9.91,0.15321
3326,3.81,10.01,0.15321
3327,3.81,10.11,0.15321
3328,3.81,10.21,0.15321
3329,3.81,10.31,0.15321
3330,3.81,10.41,0.15321
3331,3.81,10.51,0.15321
3333,3.91,0.61,0.38846
3334,3.91,0.71,0.2424
3335,3.91,0.81,0.14821
3336,3.91,0.91,0.08726
3337,3.91,1.01,0.04825
3338,3.91,1.11,0.02395
3339,3.91,1.21,0.00973
3340,3.91,1.31,0.00274
3341,3.91,1.41,0.00086
3342,3.91,1.51,0.00262
3343,3.91,1.61,0.00696
3344,3.91,1.71,0.0131
3345,3.91,1.81,0.02047
3346,3.91,1.91,0.02865
3347,3.91,2.01,0.0373
3348,3.91,2.11,0.04619
3349,3.91,2.21,0.05513
3350,3.91,2.31,0.06397
3351,3.91,2.41,0.07261
3352,3.91,2.51,0.08096
3353,3.91,2.61,0.08896
3354,3.91,2.71,0.09656
3355,3.91,2.81,0.10371
3356,3.91,2.91,0.1104
3357,3.91,3.01,0.1166
3358,3.91,3.11,0.12231
3359,3.91,3.21,0.12751
3360,3.91,3.31,0.1322
3361,3.91,3.41,0.13639
3362,3.91,3.51,0.14008
3363,3.91,3.61,0.14328
3364,3.91,3.71,0.146
3365,3.91,3.81,0.14826
3366,3.91,3.91,0.1501
3367,3.91,4.01,0.15156
3368,3.91,4.11,0.15269
3369,3.91,4.21,0.15354
3370,3.91,4.31,0.15417
3371,3.91,4.41,0.15464
3372,3.91,4.51,0.15498
3373,3.91,4.61,0.15522
3374,3.91,4.71,0.15539
3375,3.91,4.81,0.15552
3376,3.91,4.91,0.15561
3377,3.91,5.01,0.15568
3378,3.91,5.11,0.15573
3379,3.91,5.21,0.15576
3380,3.91,5.31,0.15579
3381,3.91,5.41,0.15581
3382,3.91,5.51,0.15582
3383,3.91,5.61,0.15584
3384,3.91,5.71,0.15585
3385,3.91,5.81,0.15585
3386,3.91,5.91,0.15586
3387,3.91,6.01,0.15586
3388,3.91,6.11,0.15587
3389,3.91,6.21,0.15587
3390,3.91,6.31,0.15588
3391,3.91,6.41,0.15588
3392,3.91,6.51,0.15588
3393,3.91,6.61,0.15588
3394,3.91,6.71,0.15589
3395,3.91,6.81,0.15589
3396,3.91,6.91,0.15589
3397,3.91,7.01,0.15589
3398,3.91,7.11,0.15589
3399,3.91,7.21,0.1559
3400,3.91,7.31,0.1559
3401,3.91,7.41,0.1559
3402,3.91,7.51,0.1559
3403,3.91,7.61,0.1559
3404,3.91,7.71,0.1559
3405,3.91,7.81,0.1559
3406,3.91,7.91,0.1559
3407,3.91,8.01,0.15591
3408,3.91,8.11,0.15591
3409,3.91,8.21,0.15591
3410,3.91,8.31,0.15591
3411,3.91,8.41,0.15591
3412,3.91,8.51,0.15591
3413,3.91,8.61,0.15591
3414,3.91,8.71,0.15591
3415,3.91,8.81,0.15591
3416,3.91,8.91,0.15591
3417,3.91,9.01,0.15591
3418,3.91,9.11,0.15591
3419,3.91,9.21,0.15591
3420,3.91,9.31,0.15591
3421,3.91,9.41,0.15591
3422,3.91,9.51,0.15591
3423,3.91,9.61,0.15591
3424,3.91,9.71,0.15591
3425,3.91,9.81,0.15591
3426,3.91,9.91,0.15591
3427,3.91,10.01,0.15591
3428,3.91,10.11,0.15591
3429,3.91,10.21,0.15591
3430,3.91,10.31,0.15591
3431,3.91,10.41,0.15592
3432,3.91,10.51,0.15592
3434,4.01,0.61,0.38819
3435,4.01,0.71,0.24211
3436,4.01,0.81,0.14794
3437,4.01,0.91,0.087
3438,4.01,1.01,0.04799
3439,4.01,1.11,0.02369
3440,4.01,1.21,0.00951
3441,4.01,1.31,0.00254
3442,4.01,1.41,0.00069
3443,4.01,1.51,0.00248
3444,4.01,1.61,0.00684
3445,4.01,1.71,0.01301
3446,4.01,1.81,0.02039
3447,4.01,1.91,0.02859
3448,4.01,2.01,0.03726
3449,4.01,2.11,0.04617
3450,4.01,2.21,0.05513
3451,4.01,2.31,0.06399
3452,4.01,2.41,0.07266
3453,4.01,2.51,0.08104
3454,4.01,2.61,0.08907
3455,4.01,2.71,0.0967
3456,4.01,2.81,0.10389
3457,4.01,2.91,0.11063
3458,4.01,3.01,0.11689
3459,4.01,3.11,0.12266
3460,4.01,3.21,0.12794
3461,4.01,3.31,0.13273
3462,4.01,3.41,0.13703
3463,4.01,3.51,0.14085
3464,4.01,3.61,0.1442
3465,4.01,3.71,0.14709
3466,4.01,3.81,0.14954
3467,4.01,3.91,0.15156
3468,4.01,4.01,0.1532
3469,4.01,4.11,0.1545
3470,4.01,4.21,0.15549
3471,4.01,4.31,0.15624
3472,4.01,4.41,0.15679
3473,4.01,4.51,0.1572
3474,4.01,4.61,0.15749
3475,4.01,4.71,0.1577
3476,4.01,4.81,0.15786
